| ozone | particullate_matter | carbon_monoxide | sulfure_dioxide | nitrogen_dioxide | longitude          | latitude          | timestamp           |
|-------|---------------------|-----------------|-----------------|------------------|--------------------|-------------------|---------------------|
| 101   | 94                  | 49              | 44              | 87               | 10.104986076057457 | 56.23172069428216 | 2014-08-01 00:05:00 |
| 106   | 97                  | 48              | 47              | 86               | 10.104986076057457 | 56.23172069428216 | 2014-08-01 00:10:00 |
| 107   | 95                  | 49              | 42              | 85               | 10.104986076057457 | 56.23172069428216 | 2014-08-01 00:15:00 |
| 103   | 90                  | 51              | 44              | 87               | 10.104986076057457 | 56.23172069428216 | 2014-08-01 00:20:00 |
| 105   | 94                  | 49              | 39              | 82               | 10.104986076057457 | 56.23172069428216 | 2014-08-01 00:25:00 |
| 106   | 92                  | 48              | 42              | 77               | 10.104986076057457 | 56.23172069428216 | 2014-08-01 00:30:00 |
| 110   | 87                  | 50              | 40              | 81               | 10.104986076057457 | 56.23172069428216 | 2014-08-01 00:35:00 |
| 106   | 91                  | 52              | 36              | 82               | 10.104986076057457 | 56.23172069428216 | 2014-08-01 00:40:00 |
| 106   | 88                  | 50              | 40              | 85               | 10.104986076057457 | 56.23172069428216 | 2014-08-01 00:45:00 |